scenario,model,n_obs,esg_coefficient,esg_pvalue,interaction_coefficient,interaction_pvalue
Null,Main,2400,0.07980578895805067,0.2662682796581622,-0.059143350918199826,0.4116704374096436
Null,Firm-block circular placebo,2400,-0.023689372897542645,0.6202198742224844,0.02177747331782664,0.7731886127753462
Null,Lead placebo,2400,0.15850898847153594,0.037181768686553235,-0.0681484114970211,0.30188291336304574
Full alternative,Main,2400,-0.013533545248836354,0.8328293314359652,-0.15721783339193426,0.05523417121294691
Full alternative,Firm-block circular placebo,2400,0.05482384415155507,0.21003562566878642,-0.20856842395922762,0.01531604419872678
Full alternative,Lead placebo,2400,-0.10343934953018942,0.19379873830863936,-0.1587131924206931,0.05016215021407861
