scenario,firms,effect_scale,runs,repetitions,firm_rejection_5pct,firm_rejection_5pct_pooled_mcse,two_way_rejection_5pct,two_way_rejection_5pct_pooled_mcse,wild_firm_rejection_5pct,wild_firm_rejection_5pct_pooled_mcse,mean_interaction,mean_interaction_pooled_mcse
Null,300,0.0,2,2000,0.065,0.005512485827646181,0.1105,0.0070103405766053905,,,-0.0015805192337724,
Half alternative,300,0.5,2,2000,0.115,0.007133547504573023,0.155,0.008092434738692676,,,-0.051616841512750346,
Full alternative,300,1.0,2,2000,0.234,0.009466889668734923,0.2845,0.010088601241004622,,,-0.09545468700550705,
Null,100,0.0,2,600,0.0833333333333333,0.0112833866731055,0.11999999999999995,0.013266499161421598,,,-0.00217885336972105,
Full alternative,100,1.0,2,600,0.13333333333333328,0.013877773329774216,0.16166666666666665,0.015029446405615187,,,-0.08766913785111001,
Null,500,0.0,2,600,0.04499999999999995,0.008463155439905374,0.09499999999999996,0.011970449727001347,,,-0.00114919412793225,
Full alternative,500,1.0,2,600,0.4116666666666667,0.020091342340347425,0.455,0.020329576155608032,,,-0.10261045484463634,
Null (wild bootstrap diagnostic),300,0.0,2,600,0.06,0.009695359714832657,0.09333333333333331,0.011875901525233231,0.05499999999999995,0.009307255234493139,0.00604153617252265,
Full alternative (wild bootstrap diagnostic),300,1.0,2,600,0.2633333333333333,0.017980957004976535,0.2833333333333333,0.018396356321998274,0.22999999999999995,0.017180415206468864,-0.09828445363389089,
