diagnostic,n_obs,interaction_coefficient,firm_clustered_se,firm_clustered_pvalue
Main log absolute residual,2400,-0.15721783339193426,0.08201116630209326,0.05523417121294691
Raw absolute residual,2400,-0.0031220164295507015,0.0016200722535587376,0.0539690769453516
Oracle log true deviation,2400,-0.11445780605973177,0.0829612512220042,0.16769326201470766
First stage includes lagged ESG,2400,-0.13303349648104246,0.0757657777605438,0.07911367355850975
MAR-like ESG missingness,2169,-0.19482026352875717,0.08537623982141053,0.02249509138235352
Restricted Rademacher wild bootstrap-t (399 draws),2400,-0.15721783339193426,0.08201116630209326,0.075
