scenario,firms,effect_scale,repetitions,firm_rejection_5pct,firm_mcse,two_way_rejection_5pct,two_way_mcse,wild_firm_rejection_5pct,wild_firm_mcse,wild_bootstrap_draws,mean_interaction,mean_n_obs
Null,300,0.0,1000,0.072,0.008174105455644672,0.127,0.010529529904036551,,,0,0.0018559062107179217,2400.0
Half alternative,300,0.5,1000,0.126,0.010493998284733994,0.169,0.011850696182081457,,,0,-0.054108296264847346,2400.0
Full alternative,300,1.0,1000,0.241,0.013524755080961725,0.291,0.014363808687113596,,,0,-0.09852562102449844,2400.0
Null,100,0.0,300,0.08,0.015663120165960973,0.12333333333333334,0.018984399053101664,,,0,-0.005718876024883029,800.0
Full alternative,100,1.0,300,0.13,0.0194164878389476,0.14,0.020033305601755626,,,0,-0.08812949698208349,800.0
Null,500,0.0,300,0.03666666666666667,0.010850840554571832,0.08333333333333333,0.015957118462605634,,,0,-0.0001918893705646933,4000.0
Full alternative,500,1.0,300,0.4066666666666667,0.028360118058574725,0.44,0.028658913680272905,,,0,-0.10238218599471224,4000.0
Null (wild bootstrap diagnostic),300,0.0,300,0.07,0.014730919862656237,0.08333333333333333,0.015957118462605634,0.06666666666666667,0.01440164599646191,399,0.00738044028481002,2400.0
Full alternative (wild bootstrap diagnostic),300,1.0,300,0.22666666666666666,0.024172221583799374,0.27,0.025632011235952594,0.20333333333333334,0.02323710315342605,399,-0.09284118595732678,2400.0
