scenario,big4_variance_scale,repetitions,independent_master_seeds,mean_second_stage_n,mean_interaction,mcse_mean_interaction,firm_rejection_5pct,firm_mcse,two_way_rejection_5pct,two_way_mcse
Full alternative: direct Big Four variance role retained,1.0,1000,2,2400.0,-0.10141707026949903,0.0025019710976232393,0.27,0.014039230748157109,0.316,0.014701836619960105
Selection-only: direct Big Four variance role set to zero,0.0,1000,2,2400.0,0.00014983297304321108,0.00251862121369824,0.057,0.007331507348424334,0.092,0.00913980306133562
