first_stage_fe,repetitions,independent_master_seeds,mean_second_stage_n,mean_beta_interaction,mcse_beta_interaction,firm_rejection_5pct,firm_mcse,two_way_rejection_5pct,two_way_mcse,mean_error_interaction_covariance,mean_oracle_beta_interaction,mcse_oracle_beta_interaction,oracle_firm_rejection_5pct,oracle_firm_mcse,oracle_two_way_rejection_5pct,oracle_two_way_mcse
industry_year,1000,2,2400.0,-0.09959241852145707,0.002613242142437746,0.267,0.013989674763910703,0.301,0.014505137021069467,-0.00010804895066942712,-0.1023523670446903,0.0025688692431913977,0.268,0.014006284303840188,0.306,0.0145727142289966
industry_plus_year,1000,2,2400.0,-0.09479712275159616,0.0025584324300594037,0.237,0.013447341744746431,0.275,0.014120021246442939,-0.00010825608142648775,-0.09589374701825551,0.0025522150960110017,0.244,0.013581752464244074,0.276,0.014135911714495106
none,1000,2,2400.0,-0.0850824172802038,0.0024747602762024722,0.199,0.012625331678811452,0.262,0.013905250806799567,0.00019661747133865816,-0.10003539226908653,0.0025345755549929195,0.254,0.013765318739498916,0.287,0.01430492922037715
