firms,effect_scale,gamma_inter_log_sd,repetitions,independent_master_seeds,mean_oracle_beta3_log_abs_true_deviation,mcse_oracle_beta3,mean_estimated_beta3_log_abs_residual,mcse_estimated_beta3,oracle_minus_gamma,estimated_minus_oracle
100,0.0,-0.0,1000,2,0.014071276221361305,0.0051728461908479234,0.007259658912987687,0.005265089566438994,0.014071276221361305,-0.006811617308373618
100,0.5,-0.06,1000,2,-0.04826651421664256,0.00531988121544345,-0.04676261371743675,0.005380221392987834,0.011733485783357436,0.001503900499205811
100,1.0,-0.12,1000,2,-0.10586492822140749,0.005419210498450482,-0.09170492305171458,0.005297564565282011,0.014135071778592509,0.014160005169692902
300,0.0,-0.0,1000,2,0.003773714388046571,0.002915934006713801,0.0030984870221757933,0.002870354783648375,0.003773714388046571,-0.0006752273658707777
300,0.5,-0.06,1000,2,-0.05773235710928561,0.0028504142118275463,-0.05239769402586153,0.00286670256226355,0.0022676428907143845,0.0053346630834240835
300,1.0,-0.12,1000,2,-0.11763538980035358,0.002851420807184893,-0.10550130930728283,0.0029042623875542867,0.0023646101996464136,0.012134080493070756
