master_seed,first_stage_fe,n_first_stage,added_fe_df,joint_f_descriptive,partial_r2_fe_block,ssr_without_fe,ssr_with_fe
20260827,industry_year,3000,99,3.8956400339269512,0.1176295741493286,3.6687250579971065,3.237174491753936
20260827,industry_plus_year,3000,18,17.721043036823122,0.0968663318200336,3.6687250579971065,3.3133491191726865
20260827,none,3000,0,,0.0,3.6687250579971065,3.6687250579971065
20260828,industry_year,3000,99,3.772927590310788,0.1143479454328061,3.5750315674416937,3.166234052847312
20260828,industry_plus_year,3000,18,17.284521438155373,0.0947062069679996,3.5750315674416937,3.2364538878984286
20260828,none,3000,0,,0.0,3.5750315674416937,3.5750315674416937
