diagnostic,n_obs,interaction_coefficient,firm_clustered_se,firm_clustered_pvalue
Main log absolute residual,2400,-0.1608232438936884,0.07731674215030963,0.03752028939902385
Raw absolute residual,2400,-0.0032191984128576287,0.0016132635645476647,0.04599303653287771
Oracle log true deviation,2400,-0.11445780605973177,0.0829612512220042,0.16769326201470766
First stage includes lagged ESG,2400,-0.1595145469037482,0.07662182806074132,0.03735689550292613
Adverse selective-availability stress,2169,-0.2022432939734734,0.08226017168749765,0.013948731226340837
Coverage-aligned selective-availability stress,1972,-0.19153405568025209,0.08044388070414936,0.017267357572955586
Restricted Rademacher wild bootstrap-t (399 draws),2400,-0.1608232438936884,0.07731674215030963,0.045
