scenario,model,n_obs,esg_coefficient,esg_pvalue,interaction_coefficient,interaction_pvalue
Null,Main,2400,0.06866313965157883,0.33840833695555905,-0.05734335178023799,0.3884206566618279
Null,Firm-block circular placebo,2400,-0.006629753129037092,0.8828921201945008,-0.006268409541689111,0.9330648466759122
Null,Lead placebo,2400,0.16347546941200541,0.029745649150718555,-0.06280249044362397,0.3497897512787072
Full alternative,Main,2400,0.013437927662015788,0.8357857824499326,-0.1608232438936884,0.03752028939902385
Full alternative,Firm-block circular placebo,2400,0.06301909804766395,0.13952117687380078,-0.24108489443109996,0.006919866258055493
Full alternative,Lead placebo,2400,-0.1202242691318398,0.14873078013346308,-0.16932827925213273,0.028316812458185264
