scenario,firms,effect_scale,runs,repetitions,firm_rejection_5pct,firm_rejection_5pct_pooled_mcse,two_way_rejection_5pct,two_way_rejection_5pct_pooled_mcse,wild_firm_rejection_5pct,wild_firm_rejection_5pct_pooled_mcse,mean_interaction,mean_interaction_pooled_mcse
Null,300,0.0,2,2000,0.064,0.005472842040475863,0.1035,0.006811304941052044,,,-0.001362355178353,
Half alternative,300,0.5,2,2000,0.1155,0.007147018609182433,0.1585,0.008166325673153136,,,-0.05128363159917975,
Full alternative,300,1.0,2,2000,0.246,0.009630264793867301,0.287,0.010115112456122274,,,-0.09546131997192711,
Null,100,0.0,2,600,0.07333333333333329,0.01064233335595438,0.1033333333333333,0.012426822841174082,,,-0.005677947128737949,
Full alternative,100,1.0,2,600,0.12999999999999995,0.01372953021774598,0.13999999999999996,0.01416568624058385,,,-0.08626337263730866,
Null,500,0.0,2,600,0.0433333333333333,0.008312195413522985,0.0883333333333333,0.01158523165899554,,,-0.0013796141237308501,
Full alternative,500,1.0,2,600,0.39,0.019912307751739876,0.4583333333333333,0.02034141460538446,,,-0.10288156075286725,
Null (wild bootstrap diagnostic),300,0.0,2,600,0.05,0.008897565210026092,0.08999999999999996,0.01168332144554792,0.0433333333333333,0.008312195413522985,0.00711633503956785,
Full alternative (wild bootstrap diagnostic),300,1.0,2,600,0.24666666666666662,0.017598400600728,0.29,0.01852475820804867,0.225,0.01704772712123232,-0.0968304267042176,
